id;name;terms;genus;species
Quillaja saponaria;Quillaja saponaria;Quillaja saponaria, Quillaja, saponaria;Quillaja;Quillaja saponaria
Raphiolepsis deflexa;Raphiolepsis deflexa;Raphiolepsis deflexa, Raphiolepsis, deflexa;Raphiolepsis;Raphiolepsis deflexa
Salix alba;Salix alba;Salix alba, Salix, alba;Salix;Salix alba
Salix viminalis;Salix viminalis;Salix viminalis, Salix, viminalis;Salix;Salix viminalis
Sambucus nigra;Sambucus nigra;Sambucus nigra, Sambucus, nigra;Sambucus;Sambucus nigra
Sapindus saponaria;Sapindus saponaria;Sapindus saponaria, Sapindus, saponaria;Sapindus;Sapindus saponaria
Schinus molle;Schinus molle;Schinus molle, Schinus, molle;Schinus;Schinus molle
Senegalia visco;Senegalia visco;Senegalia visco, Senegalia, visco;Senegalia;Senegalia visco
Sequoiadendron giganteum;Sequoiadendron giganteum;Sequoiadendron giganteum, Sequoiadendron, giganteum;Sequoiadendron;Sequoiadendron giganteum
Sequoia sempervirens;Sequoia sempervirens;Sequoia sempervirens, Sequoia, sempervirens;Sequoia;Sequoia sempervirens
Sophora japonica;Sophora japonica;Sophora japonica, Sophora, japonica;Sophora;Sophora japonica
Sorbus aria;Sorbus aria;Sorbus aria, Sorbus, aria;Sorbus;Sorbus aria
Sorbus aucuparia;Sorbus aucuparia;Sorbus aucuparia, Sorbus, aucuparia;Sorbus;Sorbus aucuparia
Sorbus domestica;Sorbus domestica;Sorbus domestica, Sorbus, domestica;Sorbus;Sorbus domestica
Sorbus intermedia;Sorbus intermedia;Sorbus intermedia, Sorbus, intermedia;Sorbus;Sorbus intermedia
Sorbus torminalis;Sorbus torminalis;Sorbus torminalis, Sorbus, torminalis;Sorbus;Sorbus torminalis
Sorbus × thuringiaca;Sorbus × thuringiaca;Sorbus × thuringiaca, Sorbus, ×;Sorbus;Sorbus × thuringiaca
Styrax japonicus;Styrax japonicus;Styrax japonicus, Styrax, japonicus;Styrax;Styrax japonicus
Sycoparrotia semidecidua;Sycoparrotia semidecidua;Sycoparrotia semidecidua, Sycoparrotia, semidecidua;Sycoparrotia;Sycoparrotia semidecidua
Syringa vulgaris;Syringa vulgaris;Syringa vulgaris, Syringa, vulgaris;Syringa;Syringa vulgaris
Tamarix africana;Tamarix africana;Tamarix africana, Tamarix, africana;Tamarix;Tamarix africana
Tamarix gallica;Tamarix gallica;Tamarix gallica, Tamarix, gallica;Tamarix;Tamarix gallica
Taxodium distichum;Taxodium distichum;Taxodium distichum, Taxodium, distichum;Taxodium;Taxodium distichum
Taxus baccata;Taxus baccata;Taxus baccata, Taxus, baccata;Taxus;Taxus baccata
Tetradium daniellii;Tetradium daniellii;Tetradium daniellii, Tetradium, daniellii;Tetradium;Tetradium daniellii
Tilia americana;Tilia americana;Tilia americana, Tilia, americana;Tilia;Tilia americana
Tilia cordata;Tilia cordata;Tilia cordata, Tilia, cordata;Tilia;Tilia cordata
Tilia dasystyla;Tilia dasystyla;Tilia dasystyla, Tilia, dasystyla;Tilia;Tilia dasystyla
Tilia henryana;Tilia henryana;Tilia henryana, Tilia, henryana;Tilia;Tilia henryana
Tilia kiusiana;Tilia kiusiana;Tilia kiusiana, Tilia, kiusiana;Tilia;Tilia kiusiana
Tilia mongolica;Tilia mongolica;Tilia mongolica, Tilia, mongolica;Tilia;Tilia mongolica
Tilia platyphyllos;Tilia platyphyllos;Tilia platyphyllos, Tilia, platyphyllos;Tilia;Tilia platyphyllos
Tilia tomentosa;Tilia tomentosa;Tilia tomentosa, Tilia, tomentosa;Tilia;Tilia tomentosa
Tilia euchlora;Tilia euchlora;Tilia euchlora, Tilia, euchlora;Tilia;Tilia euchlora
Tipuana tipu;Tipuana tipu;Tipuana tipu, Tipuana, tipu;Tipuana;Tipuana tipu
Ulmus glabra;Ulmus glabra;Ulmus glabra, Ulmus, glabra;Ulmus;Ulmus glabra
Ulmus laevis;Ulmus laevis;Ulmus laevis, Ulmus, laevis;Ulmus;Ulmus laevis
Ulmus minor;Ulmus minor;Ulmus minor, Ulmus, minor;Ulmus;Ulmus minor
Ulmus parvifolia;Ulmus parvifolia;Ulmus parvifolia, Ulmus, parvifolia;Ulmus;Ulmus parvifolia
Ulmus pumila;Ulmus pumila;Ulmus pumila, Ulmus, pumila;Ulmus;Ulmus pumila
Vitex agnus-castus;Vitex agnus-castus;Vitex agnus-castus, Vitex, agnus-castus;Vitex;Vitex agnus-castus
Zelkova carpinifolia;Zelkova carpinifolia;Zelkova carpinifolia, Zelkova, carpinifolia;Zelkova;Zelkova carpinifolia
Zelkova serrata;Zelkova serrata;Zelkova serrata, Zelkova, serrata;Zelkova;Zelkova serrata
